residue,vh_ori,vv_ori,vv_soil,vh_soil,VVresidue,VHresidue,span,RVI_residue,ratio,product,NDVI_residue,SPAN_ori,RVI_ori,Ratio_ori,Product_ori,NDVI_ori,Entropy,Anisotropy,Alpha,g0,g1,g2,g3,DegreeOfPolarization,DegreeOfDepolarization,DegreeOfCircularity,DegreeOfEllipticity,CPR,LPR,RelativePhase,Alphas,ConformityCoefficient,PhasePhi,DpRVI
TC,-23.64369965,-14.33220005,-18.0734005,-28.53759956,-7.138199806,-13.21899986,15.02320004,0.791163027,0.539995015,94.36009979,-0.298705995,27.64839935,0.419557005,0.606175005,338.8659973,-0.245194003,0.412084013,0.834334016,10.12749958,0.050767802,0.042123102,0.00327572,0.00331545,0.83436197,0.165638,-0.077236198,-0.038680799,0.878874004,0.093607798,-0.802572012,0.746738017,0.0646061,0.078534998,0.233150005
TC,-24.49360085,-12.8835001,-18.07369995,-28.53779984,-5.008900166,-16.10149956,16.86260033,0.288590014,0.311082989,80.65070343,-0.525456011,27.67519951,0.258266985,0.525996983,315.5629883,-0.310618997,0.410847992,0.83504498,9.757200241,0.040395401,0.0350926,0.0032638,-0.000853548,0.872763991,0.127235994,0.0242064,0.012105,1.043190002,0.070282899,0.256846011,0.797502995,-0.0211358,0.0928955,0.237428993
TC,-25.93729973,-15.52019978,-18.78129959,-29.29140091,-13.7723999,-25.37809944,28.8743,0.258511007,0.542689979,349.5190125,-0.296436012,30.22610092,0.333108008,0.598371983,402.5509949,-0.251273006,0.574735999,0.727196991,13.64960003,0.030261099,0.019531,-0.000504592,0.000789918,0.646156013,0.353843987,-0.037818599,-0.018931599,0.952663004,0.216009006,-1.01643002,0.766474009,0.024705701,-0.0265895,0.482026011
TC,-23.05380058,-13.83090019,-18.22400093,-28.71010017,-1.364820004,-4.098470211,4.319749832,1.390540004,0.333007008,5.593679905,-0.500366986,26.88439941,0.427273005,0.599938989,318.855011,-0.250048012,0.566712022,0.73318398,14.3657999,0.049408302,0.038316499,-0.00564617,0.00468899,0.790075004,0.209924996,-0.119941004,-0.0601964,0.827248991,0.126489997,-2.444610119,0.725277007,0.094641902,-0.146989003,0.326494008
RC,-26.69720078,-13.99510002,-17.93190002,-28.41839981,-5.295949936,-16.58979988,17.41460037,0.27642101,0.319227993,87.85890198,-0.516038001,30.14299965,0.203770995,0.524214983,373.6289978,-0.312150002,0.513767004,0.770712018,13.26449966,0.0309381,0.0244548,0.000801198,-0.00361954,0.799212992,0.200786993,0.146716997,0.073759399,1.265679955,0.117514998,1.353739977,0.859023988,-0.117241003,0.0347469,0.309706002
RC,-23.6923008,-14.93980026,-17.85330009,-28.36400032,-8.942009926,-14.12360001,16.71629906,0.930815995,0.633125007,126.2929993,-0.224646002,28.00939941,0.470403999,0.630575001,353.9590149,-0.226560995,0.584177971,0.720045984,15.75049973,0.041742899,0.030218899,-0.00117008,0.00195242,0.725210011,0.274789989,-0.066650897,-0.033436399,0.911354005,0.162138,-2.334330082,0.751999021,0.047910601,-0.040281098,0.351684004
TC,-22.73349953,-13.07820034,-17.19219971,-27.70330048,-3.777070045,-8.976679802,9.738949776,0.927855015,0.420763999,33.9054985,-0.407692999,26.2269001,0.390745014,0.575285017,297.3129883,-0.269611001,0.559831023,0.738251984,15.22949982,0.046840999,0.033675399,-0.00147205,0.00641553,0.731885016,0.268115014,-0.187579006,-0.094662197,0.759051979,0.164221004,-1.802870035,0.691027999,0.137146994,-0.043715499,0.417571008
TC,-23.21629906,-11.17029953,-17.4993,-27.99230003,1.118360043,-7.084459782,7.172190189,0.525538981,-0.157860994,-7.922999859,-1.374909997,25.76379967,0.235047996,0.481139988,259.3340149,-0.350311011,0.507538021,0.77491498,11.26399994,0.039255399,0.0274421,-0.00392137,-0.00453914,0.715025008,0.284974992,0.164875001,0.083058499,1.266759992,0.179251999,2.249619961,0.868248999,-0.117250003,-0.146369994,0.401594013
NC,-26.39649963,-18.0625,-18.73740005,-29.25860023,-21.28960037,-29.02459908,35.99549866,0.576699018,0.733502984,617.9219971,-0.153733,31.98480034,0.511904001,0.684275985,476.7869873,-0.187454,0.672855973,0.646553993,19.30850029,0.0272856,0.0162252,7.07E-05,-0.00192147,0.594704986,0.405295014,0.111587003,0.0560272,1.148620009,0.259133011,1.451730013,0.841346979,-0.068304799,0.00745246,0.464607
NC,-25.15800095,-13.35949993,-18.7385006,-29.25939941,-9.945449829,-25.44319916,27.3178997,0.109700002,0.390888005,253.0440063,-0.437929988,28.48509979,0.247981995,0.531024992,336.098999,-0.306313992,0.538250029,0.753768981,12.99409962,0.040439401,0.032007799,1.97E-05,0.0058743,0.804125011,0.195875004,-0.180444002,-0.090973496,0.746661007,0.117011003,-1.568639994,0.694675982,0.145086005,-0.00046007,0.397825003
NC,-22.86630058,-14.54529953,-18.73559952,-29.25720024,-14.3032999,-22.70439911,26.83419991,0.505044997,0.629978001,324.7470093,-0.227009997,27.10040092,0.513234019,0.636098981,332.5969849,-0.222420007,0.642407,0.673178017,15.38910007,0.032008599,0.018415401,-0.00169262,-0.000378247,0.580862999,0.419137001,0.013835,0.00703501,1.025670052,0.270891994,1.476930022,0.792393982,-0.00990546,-0.095347598,0.543084025
RC,-25.39100075,-16.74279976,-18.72599983,-29.25,-9.71739006,-13.78639984,16.86689949,1.12609005,0.704852998,133.9680023,-0.173121005,30.41430092,0.480464995,0.659398019,425.1180115,-0.205256,0.592242002,0.713845015,13.86800003,0.035218701,0.0257445,0.000613426,-0.000317669,0.731621981,0.26837799,0.011343,0.00567155,1.01899004,0.155814007,0.195129007,0.791069984,-0.00899219,0.0229843,0.400133997
RC,-23.62770081,-13.16419983,-17.64340019,-28.18129921,-3.250200033,-9.739800453,10.26780033,0.733116984,0.333703011,31.65629959,-0.499583989,27.04750061,0.329858005,0.557148993,311.0400085,-0.28439799,0.643020988,0.672657013,15.32269955,0.0295386,0.0192685,0.000617886,6.81E-05,0.653167009,0.346832991,-0.000942357,-0.00047938,0.99872601,0.210970998,-0.607654989,0.784922004,0.0013413,0.032584898,0.433510005
NC,-27.5576992,-15.3380003,-17.86899948,-28.40749931,-14.49790001,-30.2227993,33.52019882,0.104257002,0.479701012,438.1669922,-0.351624012,31.53860092,0.226355001,0.556577981,422.6809998,-0.284869999,0.565288007,0.734237015,15.46889973,0.044096399,0.0348804,-0.00526133,0.00151111,0.799849987,0.200149998,-0.0415994,-0.0208125,0.935449004,0.117348,-2.715950012,0.764590025,0.033511601,-0.149914995,0.372231007
NC,-27.10849953,-14.60910034,-18.71520042,-29.26009941,-10.12609959,-24.9666996,26.94199944,0.127052993,0.405584991,252.8150024,-0.422895014,30.79450035,0.212990001,0.538914025,396.0320129,-0.299618006,0.597639978,0.70964402,15.22749996,0.0257005,0.0177186,0.001958,0.000340457,0.693552017,0.306448013,-0.0179554,-0.00898005,0.974677026,0.185426995,-0.208805993,0.776418984,0.0129367,0.113486998,0.501908004
RC,-26.12339973,-15.42529964,-18.43190002,-28.97900009,-9.609189987,-18.79780006,21.11149979,0.430298001,0.511186004,180.6320038,-0.323462993,30.33760071,0.313874006,0.59047699,402.9609985,-0.257485002,0.530789018,0.75900501,12.19410038,0.0397694,0.0326172,-0.000834894,-0.00150611,0.822429001,0.177570999,0.045680001,0.0228808,1.080719948,0.098790497,0.223697007,0.808264971,-0.037388001,-0.025795,0.299017012
TC,-22.30970001,-11.62469959,-17.41539955,-27.96960068,-0.620894015,-7.328780174,7.35503006,0.703500986,0.084720097,4.55039978,-0.843793988,25.15660095,0.314749986,0.521058977,259.3420105,-0.31487301,0.525878012,0.762416005,11.32649994,0.077071197,0.060578302,-0.00203681,0.00277626,0.786086977,0.213912994,-0.048165198,-0.0241063,0.928339005,0.120956004,-2.21901989,0.761300027,0.037448999,-0.035086401,0.322450995
NC,-28.15519905,-17.72830009,-20.38829994,-30.72949982,-19.95359993,-33.50749969,38.99869919,0.169009998,0.595494986,668.5949707,-0.253529996,33.27170181,0.332419008,0.629661977,499.1440125,-0.227247998,0.46606499,0.801845014,10.08119965,0.025923001,0.021018,-0.00140607,-0.000551343,0.81525898,0.184741005,0.025531599,0.0127771,1.044350028,0.104460999,1.310099959,0.798171997,-0.0209195,-0.066008501,0.28904599
RC,-27.28240013,-15.6651001,-20.55010033,-30.89089966,-6.200469971,-16.22139931,17.36610031,0.362042993,0.382239014,100.5810013,-0.446927994,31.45980072,0.257863998,0.574182987,427.3800049,-0.270500004,0.526971996,0.761659026,11.46829987,0.021793,0.015667001,0.000705825,-0.000162553,0.722101986,0.277898014,0.00858912,0.00429377,1.015400052,0.163525,-0.160978004,0.789691985,-0.00544232,0.044768699,0.398014992
