FID,class,residue,VVresidue,VHresidue,span,ratio,product
27,0,TC,0.606898195,-7.535478163,7.559878079,-0.080538777,-4.573268099
28,0,TC,1.109233806,-3.049262193,3.244749537,-0.363771213,-3.382344709
29,0,TC,0.740431456,-6.842712113,6.882655578,-0.108207308,-5.066559289
30,0,TC,1.460873483,-0.112284546,1.465182293,-13.01045901,-0.164033516
31,0,TC,-2.463041781,-6.425459465,6.881359179,0.383325394,15.82617512
32,0,TC,4.964459751,2.878253341,5.738484374,1.724816812,14.28897286
33,0,TC,6.534646305,0.830869268,6.587256339,7.864830911,5.429436795
34,0,TC,-0.335264353,5.005982256,5.017196481,-0.066972741,-1.678327401
35,0,TC,5.482738612,7.20309671,9.052349137,0.761164098,39.49269646
36,0,TC,2.492382094,-0.911887907,2.653960824,-2.733211038,-2.272773092
37,0,TC,2.689479503,4.290973303,5.064163494,0.626776098,11.54048475
38,0,TC,4.975682627,0.038314255,4.97583014,129.8650505,0.190639572
39,0,TC,2.61278074,4.860740279,5.518461675,0.537527329,12.70004858
40,0,TC,1.602313634,5.408247975,5.640616557,0.29627222,8.665709468
41,0,TC,-0.993414806,-0.442259812,1.087412856,2.246224458,0.439347445
42,0,TC,-0.264977878,3.339754899,3.350250149,-0.079340516,-0.884961165
43,0,TC,0.546507857,1.180537117,1.300899198,0.462931533,0.645172811
44,0,TC,-1.81851806,-0.742663664,1.964321067,2.448642836,1.350547286
45,0,TC,3.229848497,1.977980078,3.787390461,1.63290244,6.388575983
46,0,TC,-0.396913601,5.397742765,5.412316266,-0.073533256,-2.14243752
47,0,TC,2.864102796,7.006359987,7.56915881,0.408786132,20.06693523
48,0,TC,4.083905428,5.697973422,7.010362663,0.716729462,23.26998459
49,0,TC,2.921381796,5.906727074,6.589681049,0.494585539,17.25580495
50,0,TC,3.775359062,3.382681787,5.069109599,1.116084604,12.77083834
51,0,TC,0.952285063,-1.227018597,1.55319718,-0.776096683,-1.168471482
52,0,TC,-3.510983283,-2.618752357,4.38005337,1.3407084,9.194395749
53,0,TC,0.204626942,-2.196484867,2.205995911,-0.093161098,-0.449459983
54,0,TC,-0.864230625,0.837558024,1.203494087,-1.031845675,-0.723843295
55,0,TC,-2.538694576,-5.595044824,6.144061909,0.45373981,14.20410995
56,0,TC,1.942424564,-3.650386642,4.135013401,-0.532114747,-7.090600683
57,0,TC,4.640555173,4.179417661,6.245180886,1.11033535,19.39481825
58,0,TC,2.438211349,-2.11603417,3.228385849,-1.152255187,-5.159338528
59,0,TC,3.201657319,6.578099741,7.315873549,0.48671462,21.06082118
60,0,TC,0.309190549,3.604069447,3.617307752,0.085789287,1.114344211
61,0,TC,6.185054353,3.84826806,7.284508523,1.607230644,23.80174712
62,0,TC,1.218864821,3.607494877,3.807840693,0.337870146,4.397048599
63,0,TC,4.200893648,3.488739248,5.460660123,1.204129443,14.65582255
64,0,TC,0.174909135,0.046747944,0.181048546,3.741536412,0.008176642
65,0,TC,3.881281727,2.522403655,4.628916509,1.538723479,9.790159216
66,0,TC,5.403098549,2.880798801,6.123109967,1.875555678,15.56523982
67,0,TC,2.138162001,2.595646291,3.362902974,0.823749372,5.549912268
68,0,TC,0.358202707,-0.327931701,0.485642234,-1.092308874,-0.117466023
69,0,TC,3.424817252,-2.361758523,4.160201501,-1.450113218,-8.088591335
70,0,TC,1.475778003,-1.96216324,2.455199644,-0.752117853,-2.895717347
71,0,TC,5.119716754,3.143664694,6.007838825,1.628582324,16.0946728
72,0,TC,-2.917678019,-5.161879344,5.929404978,0.56523561,15.0607019
73,0,TC,3.098504984,5.12097073,5.985405112,0.605062038,15.86735333
74,0,TC,3.027978796,6.692413181,7.345546255,0.45244947,20.26448521
75,0,TC,-0.06524753,6.967554689,6.967860187,-0.00936448,-0.454615732
76,0,TC,1.704733302,4.407226977,4.725438102,0.386804063,7.513146598
77,0,TC,5.592207094,5.934716546,8.15436329,0.942287142,33.18816397
78,0,TC,-0.514470747,-0.272457005,0.582162322,1.888263975,0.140171159
79,0,TC,2.372615942,-12.92503264,13.14099597,-0.183567501,-30.6661385
80,0,TC,-0.29348221,-3.372289116,3.385035553,0.087027595,0.989706864
81,0,TC,4.361811925,-2.265738054,4.915177739,-1.925117476,-9.882723265
82,0,TC,2.507641071,1.958286423,3.181689717,1.280528243,4.910679463
83,0,TC,5.769945793,-5.597883588,8.039189954,-1.03073701,-32.29948486
84,0,TC,1.855355102,0.400742314,1.898140395,4.629795847,0.743519298
85,1,RC,-3.815579672,-15.73344928,16.18950507,0.24251387,60.03222925
86,1,RC,-17.18007445,-44.5017394,47.70282767,0.386053999,764.5431958
87,1,RC,-13.45655051,-27.27173998,30.41096107,0.493424714,366.9835466
88,1,RC,-6.235096953,-7.686307067,9.897259739,0.811195402,47.92486977
89,1,RC,-9.98880942,-34.90084261,36.30213669,0.286205394,348.6178655
90,1,RC,-5.58705368,-22.31450928,23.00331483,0.250377618,124.6723612
91,1,RC,-13.54776706,-26.01591456,29.332061,0.520749214,352.4575503
92,1,RC,2.577047076,-6.873372014,7.340600416,-0.374931994,-17.71300325
93,1,RC,-7.032850476,-18.85765807,20.12640688,0.372944002,132.6230895
94,1,RC,-12.66928066,-25.38880217,28.37431846,0.499010571,321.6578604
95,1,RC,-11.74053914,-24.62827274,27.28354957,0.476709807,289.1491999
96,1,RC,-6.621699063,-29.1704199,29.91254412,0.227000471,193.1577421
97,1,RC,-7.963816764,-18.33164664,19.98678679,0.434429973,145.9898748
98,1,RC,-12.22002758,-21.14658585,24.42349621,0.577872365,258.4118623
99,1,RC,-8.837386769,-31.1065045,32.33750187,0.284100927,274.9002113
100,1,RC,-0.723341249,-18.69772643,18.71171281,0.038686054,13.52483678
101,1,RC,-0.404316088,-6.366697791,6.379522887,0.063504834,2.574158342
102,1,RC,-6.768526474,-17.60559645,18.86186568,0.384453119,119.1639457
103,1,RC,-18.60040554,-20.71752269,27.84224905,0.897810313,385.3543237
104,1,RC,-6.606828181,-21.22897736,22.23330067,0.311217449,140.2562059
105,1,RC,-7.980924537,-22.20320301,23.59401153,0.359449244,177.2020877
106,1,RC,-1.111667898,-21.96029913,21.98841839,0.05062171,24.41255956
107,1,RC,-7.543903742,-12.45500072,14.56150839,0.605692759,93.95932653
108,1,RC,-16.11118456,-8.866055081,18.3895949,1.817176232,142.8426498
109,1,RC,-4.048852151,-20.25103991,20.65182368,0.199933049,81.9934665
110,1,RC,-7.090212969,-25.81191455,26.76800427,0.274687604,183.0119713
111,1,RC,-6.618625769,-21.35635592,22.35844684,0.309913629,141.3497276
112,1,RC,-12.69783932,-18.34502688,22.31087481,0.692167932,232.9422037
113,1,RC,0.242824774,-13.79560619,13.79774308,-0.017601602,-3.349914949
114,1,RC,-2.629370121,-6.689399029,7.187603676,0.393065223,17.58890594
115,1,RC,-9.715850385,-19.70997932,21.97455423,0.492940669,191.4992102
116,1,RC,-12.81685449,-9.120418525,15.7306641,1.405292361,116.8950771
117,1,RC,-8.70454256,-13.08879136,15.71895418,0.665037918,113.9319414
118,1,RC,-6.52022097,-13.20514442,14.72715589,0.4937637,86.10045958
119,1,RC,-6.1464479,-5.093580257,7.98269263,1.20670483,31.30742568
120,1,RC,-2.568601044,-8.765367862,9.133968748,0.293039731,22.51473304
121,1,RC,-10.0865344,-13.46045785,16.8202884,0.749345566,135.7693711
122,1,RC,-7.396666383,-16.86312948,18.41401123,0.43862952,124.7309429
123,1,RC,-7.184536772,-17.37644686,18.80315065,0.413464089,124.8417215
124,1,RC,-1.591468819,-14.96326269,15.04765773,0.106358409,23.81356599
125,1,RC,-5.188990798,-10.97717999,12.14183289,0.472707089,56.96048593
126,1,RC,-1.497810021,-12.75671337,12.84434392,0.117413473,19.10713311
127,1,RC,-8.15138939,-20.58399542,22.13924155,0.39600618,167.7881619
128,1,RC,-20.73542787,-21.28880078,29.7181932,0.974006384,441.4323929
129,1,RC,-9.235634395,-24.10949301,25.81791231,0.383070452,222.6664629
130,1,RC,1.313747448,-8.687284089,8.786059253,-0.151226486,-11.4128973
131,1,RC,-21.41734408,-23.18667828,31.56461115,0.923691778,496.5970669
132,1,RC,-19.72741147,-48.04205443,51.93466816,0.410627974,947.7453757
133,1,RC,-15.37065393,-27.21665264,31.25705014,0.564751813,418.337749
134,1,RC,-24.30916774,-42.5531124,49.00717305,0.571266504,1034.430747
135,1,RC,-13.10384066,-36.28275837,38.57653684,0.361158888,475.4434843
136,1,RC,-18.88178934,-26.45986542,32.50609861,0.71360111,499.6096048
137,1,RC,-14.35854391,-23.15580632,27.24626855,0.620083953,332.4836619
138,1,RC,-6.0449014,-15.28318959,16.43522793,0.395526167,92.38537414
139,1,RC,-12.27756815,-7.366562852,14.31799315,1.666661697,90.44347742
140,1,RC,-4.186376056,-5.391699301,6.826138428,0.776448356,22.57168085
141,1,RC,-7.815394352,-29.10224381,30.13338652,0.268549546,227.4455119
142,1,RC,-2.413707223,0.896341355,2.574764141,-2.69284376,-2.163505602
143,1,RC,-1.522864975,-8.320071197,8.458291935,0.183035089,12.67034502
144,1,RC,-4.318115799,-11.183166,11.98788246,0.386126415,48.29020578
145,1,RC,-7.733695237,-19.86962911,21.32163697,0.389221922,153.665656
146,1,RC,-16.48245886,-24.58355285,29.59767763,0.670466916,405.1973986
147,1,RC,-17.11995879,-20.35224434,26.59524091,0.841182845,348.4295845
148,1,RC,-18.77861966,-32.09857272,37.18810195,0.58502974,602.7668888
149,1,RC,-11.88502445,-28.83306794,31.18652936,0.412201174,342.6817176
150,1,RC,-8.368012763,-7.552508188,11.27226763,1.10797798,63.19948491
151,1,RC,-0.519974611,-1.407473959,1.500452112,0.369438175,0.731850724
152,1,RC,-1.31453976,-7.263889449,7.381876774,0.180969131,9.548671489
153,1,RC,-1.46757279,-14.67898439,14.75216433,0.099977815,21.54247807
154,1,RC,-8.671354433,-31.12653638,32.31181912,0.278583981,269.9092292
155,1,RC,-11.52921485,-12.54392305,17.03739418,0.919107588,144.6215839
156,1,RC,-9.662957073,-12.20965108,15.57075204,0.791419592,117.9813343
157,1,RC,-1.973672859,-23.18907129,23.27291155,0.085112199,45.76764063
158,1,RC,-6.960857635,-11.52498574,13.46398289,0.603979718,80.22378496
159,1,RC,-3.995761719,-24.50756232,24.83116434,0.16304199,97.92637933
160,1,RC,-5.775633778,-19.57685812,20.41105875,0.295023529,113.068763
161,1,RC,3.046917235,-2.872961169,4.187793036,-1.060549397,-8.753674899
162,1,RC,3.278486454,-4.512383656,5.577641051,-0.726553127,-14.79378869
163,1,RC,-4.87477487,-1.028622433,4.982117436,4.739129456,5.014302785
164,1,RC,-7.693515096,-8.847875882,11.72497685,0.869532439,68.07126666
