system:index,VHresidue,VVresidue,class,product,ratio,span,residue
00000000000000000089_0,-5.266114621,-9.309611922,1,49.02548346,1.767833135,10.69583271,RC
0000000000000000008a_0,-12.68863211,-7.552253587,1,95.82776739,0.595198404,14.76610711,RC
0000000000000000008d_0,-8.951736141,-10.53662429,1,94.32108044,1.17704813,13.8258465,RC
0000000000000000008e_0,-13.66020807,-9.096522777,1,124.2603939,0.665913925,16.41182535,RC
0000000000000000005f_0,-6.246002677,-2.979842003,1,18.61210113,0.477079847,6.920405177,RC
0000000000000000005a_0,-13.52198131,-10.69995083,1,144.6845351,0.791300519,17.24334441,RC
0000000000000000005b_0,-12.33951977,-8.591650824,1,106.0168452,0.696271085,15.03596396,RC
00000000000000000061_0,-13.51626243,-6.719669769,1,90.82482003,0.497154432,15.09447952,RC
00000000000000000070_0,-22.51858444,-9.228484712,1,207.8124122,0.409816378,24.33621941,RC
0000000000000000007c_0,-4.12558551,-8.396326159,1,34.63976154,2.035184131,9.355145577,RC
0000000000000000004e_0,-16.83768438,-7.871727436,1,132.5416621,0.467506532,18.58686924,RC
0000000000000000005d_0,-12.17003372,-8.065138936,1,98.15301281,0.662704732,14.59986941,RC
00000000000000000064_0,-25.10679484,-4.394750611,1,110.338102,0.17504228,25.48852644,RC
0000000000000000008b_0,-12.76931514,-6.050001716,1,77.25437848,0.473792185,14.13003644,RC
0000000000000000004d_0,-23.88647017,-5.830235027,1,139.2637351,0.244081063,24.58770216,RC
00000000000000000062_0,-14.7079412,-7.678436669,1,112.933995,0.522060604,16.5916221,RC
00000000000000000077_0,-1.205028996,-3.517264319,1,4.238405491,2.918821315,3.717962234,RC
0000000000000000004b_0,-15.19050995,-5.438181581,1,82.60875144,0.357998619,16.13460292,RC
00000000000000000047_0,-17.73503141,-3.680991417,1,65.28249839,0.207554829,18.11300739,RC
0000000000000000004c_0,-10.34911829,-6.627215621,1,68.58583842,0.64036524,12.28919185,RC
00000000000000000050_0,-12.55401107,-5.132917568,1,64.43870399,0.408866739,13.56281817,RC
00000000000000000055_0,-27.02893433,-6.072523792,1,164.1338468,0.224667525,27.70268644,RC
00000000000000000057_0,-22.2595377,-3.596645549,1,80.05966719,0.161577729,22.54823447,RC
00000000000000000067_0,-4.050264786,-3.998791062,1,16.19616263,0.987291269,5.691658352,RC
00000000000000000069_0,-23.39615398,-6.589234855,1,154.1627533,0.281637523,24.30633738,RC
0000000000000000006a_0,-24.27240691,-12.42807022,1,301.6591773,0.512024632,27.26915228,RC
0000000000000000006b_0,-16.04078901,-8.655697444,1,138.8442164,0.539605467,18.22712293,RC
0000000000000000006d_0,-25.23187273,-9.922169126,1,250.3549085,0.393239504,27.11266939,RC
00000000000000000072_0,-19.6191804,-13.50623562,1,264.9812732,0.688419972,23.81870358,RC
00000000000000000074_0,-13.70336102,-16.75366302,1,229.5814927,1.222595172,21.64410607,RC
00000000000000000079_0,-8.597678807,-7.999672156,1,68.77861176,0.93044557,11.74371472,RC
0000000000000000007b_0,-12.75951099,-5.861207177,1,74.78613737,0.45935986,14.04132722,RC
00000000000000000081_0,-10.87920762,-11.17692979,1,121.5961398,1.027366163,15.59746512,RC
00000000000000000087_0,-11.05275862,-4.983551152,1,55.08198797,0.45088754,12.12432494,RC
00000000000000000054_0,-21.73916056,-11.36169499,1,246.9937116,0.522637245,24.52915031,RC
00000000000000000071_0,-22.301484,-6.437084877,1,143.5565454,0.288639307,23.21189889,RC
00000000000000000093_0,-92.44743138,-50.71300057,2,4688.28664,0.548560407,105.4435204,NC
00000000000000000096_0,-87.93040679,-48.60568167,2,4273.917361,0.552774443,100.470238,NC
00000000000000000097_0,-67.09188069,-35.57660574,2,2386.901388,0.530266932,75.94086733,NC
0000000000000000009a_0,-40.10099718,-26.55606273,2,1064.924597,0.662229485,48.09692758,NC
0000000000000000009b_0,-66.92017744,-33.50725368,2,2242.311362,0.500704794,74.84013761,NC
0000000000000000009c_0,-34.56260764,-16.84586107,2,582.2368867,0.487401334,38.44940679,NC
0000000000000000009f_0,-44.33230298,-31.16450928,2,1381.594468,0.702975194,54.19021799,NC
000000000000000000a0_0,-58.3249116,-40.23111765,2,2346.476381,0.689775887,70.85434454,NC
000000000000000000a1_0,-75.34069974,-52.37341957,2,3945.850078,0.695154409,91.75617753,NC
000000000000000000a2_0,-48.51268457,-43.78652465,2,2124.201859,0.902578883,65.35090133,NC
000000000000000000a4_0,-91.32826273,-42.7513248,2,3904.404223,0.468106187,100.8391161,NC
000000000000000000a6_0,-59.05584751,-30.42023231,2,1796.492601,0.515109572,66.43029173,NC
000000000000000000ab_0,-117.8374154,-58.01896747,2,6836.80517,0.492364562,131.3463248,NC
000000000000000000ad_0,-46.31440164,-28.00330788,2,1296.956448,0.604634992,54.12216783,NC
000000000000000000ae_0,-53.71524593,-39.01174364,2,2095.525404,0.726269478,66.38707546,NC
000000000000000000af_0,-63.08075182,-28.92480777,2,1824.59862,0.458536193,69.39615087,NC
000000000000000000b0_0,-48.52680962,-24.85401683,2,1206.086143,0.51217084,54.52131147,NC
000000000000000000b1_0,-60.53435209,-32.45782466,2,1964.813386,0.53618852,68.68710333,NC
000000000000000000b2_0,-116.5938234,-62.28150048,2,7261.638266,0.534174956,132.1858727,NC
000000000000000000b3_0,-114.486695,-51.76261442,2,5926.130649,0.452127773,125.6446242,NC
000000000000000000b4_0,-66.21260523,-35.25086062,2,2334.051318,0.532388969,75.01154755,NC
000000000000000000b6_0,-56.52589398,-32.39953193,2,1831.412507,0.573180354,65.1529459,NC
000000000000000000ba_0,-53.95175415,-42.95679164,2,2317.594262,0.796207506,68.96432211,NC
000000000000000000bb_0,-58.48185862,-39.58611048,2,2315.069316,0.676895561,70.620025,NC
000000000000000000c3_0,-54.57376118,-27.07256716,2,1477.451815,0.496072958,60.91977759,NC
000000000000000000c5_0,-43.33088659,-40.56525321,2,1757.728387,0.936174087,59.35575373,NC
000000000000000000c6_0,-122.0605939,-64.78634106,2,7907.859267,0.530771963,138.1884893,NC
000000000000000000c7_0,-76.17116521,-22.11102421,2,1684.222478,0.290280766,79.31547012,NC
000000000000000000c9_0,-52.74487439,-26.15009729,2,1379.283597,0.495784616,58.87146476,NC
000000000000000000cb_0,-65.93631685,-32.82527354,2,2164.377637,0.497832987,73.65525414,NC
000000000000000000cf_0,-73.22657644,-40.10820243,2,2936.986351,0.547727401,83.49131331,NC
000000000000000000d1_0,-73.74332301,-35.38925023,2,2609.720911,0.479897688,81.79533434,NC
000000000000000000d2_0,-53.89328078,-27.68604163,2,1492.091615,0.51371973,60.58879941,NC
000000000000000000d4_0,-60.78410691,-44.54185701,2,2707.436998,0.732787883,75.35704797,NC
000000000000000000d6_0,-41.50090821,-19.57296603,2,812.2958664,0.471627414,45.88492542,NC
000000000000000000d7_0,-60.24419193,-35.41970573,2,2133.83155,0.58793561,69.8850357,NC
000000000000000000da_0,-48.5621974,-36.78271516,2,1786.249474,0.757435148,60.92007182,NC
000000000000000000db_0,-50.10911639,-33.16940086,2,1662.089368,0.66194344,60.09270087,NC
000000000000000000a5_0,-48.97966703,-32.64649233,2,1599.014324,0.666531528,58.86256232,NC
000000000000000000b5_0,-67.94487939,-36.96188484,2,2511.370807,0.543998093,77.34783492,NC
000000000000000000bd_0,-50.67300328,-33.8837387,2,1716.990802,0.668674373,60.95786258,NC
000000000000000000c0_0,-48.14743715,-31.89160071,2,1535.498841,0.662373796,57.75162249,NC
000000000000000000d3_0,-52.91971009,-44.98346216,2,2380.511776,0.850032286,69.45507601,NC
000000000000000000d5_0,-41.67214622,-18.32112763,2,763.4807096,0.439649245,45.52176939,NC
000000000000000000a7_0,-52.04809888,-31.4310619,2,1635.927018,0.603884917,60.80227175,NC
000000000000000000b7_0,-69.37438601,-42.33210224,2,2936.763601,0.610197865,81.2699964,NC
000000000000000000c8_0,-91.13989343,-57.43828864,2,5234.919506,0.630221152,107.7294629,NC
000000000000000000aa_0,-80.36938177,-42.61184757,2,3424.687845,0.530200017,90.9670659,NC
000000000000000000cc_0,-69.56733696,-31.65650691,2,2202.258883,0.455048422,76.4313339,NC
000000000000000000d8_0,-84.46010054,-35.25864215,2,2977.948461,0.417459154,91.52420679,NC
000000000000000000bf_0,-41.02636215,-39.17194574,2,1607.082432,0.954799395,56.72392551,NC
00000000000000000094_0,-74.99582494,-30.38219482,2,2278.537764,0.405118483,80.91632419,NC
00000000000000000095_0,-66.02240087,-33.40680655,2,2205.597574,0.505991998,73.99305468,NC
00000000000000000098_0,-68.90088137,-34.65255668,2,2387.591697,0.502933431,77.12412812,NC
00000000000000000099_0,-85.3133432,-48.59051431,2,4145.419224,0.569553513,98.1804696,NC
0000000000000000009d_0,-61.99965964,-33.29600109,2,2064.340735,0.537035224,70.37457981,NC
