residue,VHresidue,VVresidue,product,ratio,span
RC,-14.74069023,-9.590341568,141.3682556,0.650603294,17.58586311
RC,-21.78027725,-10.64540482,231.8598633,0.488763511,24.24263
RC,-12.42897224,-3.401945114,42.28268051,0.273710907,12.88613892
RC,-18.92715263,-6.790744781,128.5294647,0.358783215,20.10848999
RC,-18.98833847,-12.17552376,231.1929626,0.641210616,22.55660439
RC,-15.93101883,-10.47166061,166.8242188,0.657312691,19.06444359
RC,-20.27394676,-10.40752411,211.0015869,0.513344765,22.78923988
RC,-21.58092499,-2.717279434,58.6414032,0.125911161,21.75131989
RC,-15.80695915,-8.523674011,134.7333679,0.539235532,17.95864677
RC,-15.57486153,-6.317670822,98.39685059,0.405632555,16.80741692
RC,-18.86399651,-9.908189774,186.9080505,0.525243402,21.30780602
RC,-16.76804924,-11.24337769,188.5295105,0.670523882,20.18863678
NC,-27.20513535,-16.17576027,440.0637512,0.594584823,31.65082359
NC,-36.41146851,-20.37071609,741.7276611,0.559458792,41.72243118
NC,-31.20723152,-16.58659935,517.6218262,0.531498611,35.34128571
NC,-31.2184124,-16.00511932,499.6544189,0.512682021,35.08209229
NC,-29.766222,-15.22262764,453.1201172,0.511406124,33.43286514
NC,-28.10022545,-19.20799446,539.7489624,0.68355304,34.03776932
NC,-34.885746,-25.89843369,903.4862061,0.742378652,43.44817734
NC,-37.42190552,-22.18235016,830.105835,0.592763782,43.50236511
NC,-33.15299988,-15.90081215,527.1596069,0.479619116,36.76897049
NC,-32.00675201,-18.10715294,579.5511475,0.565729141,36.77364731
NC,-33.13192749,-12.65690231,419.3475647,0.382015258,35.4671936
NC,-34.61405945,-15.18021774,525.4489746,0.438556403,37.79645538
NC,-41.9133606,-22.31483269,935.2896118,0.532403827,47.48348618
NC,-24.15601349,-15.10261917,364.8190613,0.625211596,28.4886322
NC,-32.47399521,-18.3970871,597.4269409,0.566517532,37.32309341
NC,-36.85074615,-23.71280098,873.8344116,0.643482268,43.8209343
NC,-37.20529938,-22.3506794,831.5637207,0.600739121,43.40261459
NC,-35.4953537,-17.8132,632.2858276,0.501845956,39.71435928
NC,-31.38469505,-16.79013252,526.953186,0.53497833,35.593647
NC,-36.78266907,-17.58510399,646.8270874,0.478081226,40.77009583
NC,-40.77742386,-21.38441086,872.0011597,0.524417877,46.04444885
NC,-35.86431122,-20.36447334,730.3577881,0.567820013,41.24270248
NC,-36.33103943,-15.76956367,572.9246216,0.43405208,39.60585403
NC,-31.18155861,-17.63686752,549.9450073,0.565618515,35.82385635
NC,-26.98806953,-13.99094772,377.5886841,0.518412292,30.39905548
