FID,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
64,-3.770093297,-2.282075995,4.406980181,1.652045464,8.603639412,0.377067442,1086,1606,2428,3674,2777,-0.067050911,0.145406991,0.139048204,1.340295315
65,-13.05199864,-30.82941127,33.47845976,0.423361917,402.3854341,0.702562004,760.5,1202,1793,2902,2659.5,-0.195153624,0.145610362,0.043884736,1.340852857
66,-0.531963413,-5.109271297,5.136889941,0.104117277,2.717945396,0.90570089,816,1240,1876,3255,2385,-0.119490467,0.171156108,0.154224113,1.412999749
67,-12.61724539,-17.97785558,21.96356466,0.70182149,226.8310154,0.587605695,710,1184,1806,2851,2585,-0.177408338,0.171474352,0.04893304,1.413926482
68,-37.22423934,-62.9584222,73.13963987,0.591251147,2343.579376,0.628436311,413.5,716,1150,1902,2018,-0.274005622,0.158381954,-0.029592946,1.376377463
69,-27.48259929,-40.57920994,49.00985149,0.677258116,1115.222166,0.596211156,804,1152,1727,2705,2830,-0.242046699,0.13294521,-0.022150738,1.30665946
70,-30.98332517,-61.15485954,68.55569476,0.506637173,1894.780899,0.663729807,572,951,1550,2420,2738.5,-0.277138323,0.10579519,-0.061742533,1.236624718
71,4.016175452,-0.911499706,4.118312394,-4.406118207,-3.660742745,-0.293589341,1245,1735,2604,3771,2660.5,-0.010733565,0.181510419,0.172663331,1.44352591
72,-4.957932325,-23.80973368,24.32045457,0.208231322,118.0470482,0.82765608,910,1380,2070,3326,2753.5,-0.14154689,0.153074294,0.093780093,1.361482739
73,-5.31721841,-17.79381406,18.57128511,0.298823984,94.61359571,0.769927267,730,1156,1880,3021,2690,-0.17724289,0.146708965,0.057958327,1.343866229
74,-18.54896592,-46.82244651,50.36274053,0.396155419,868.5079646,0.716252637,615,1044,1616,2490,2789,-0.26628831,0.108233415,-0.056639515,1.24273932
75,-134.0901403,-176.2350664,221.4474302,0.76085959,23631.38478,0.567904452,578.5,912,1440,2345.5,2964,-0.345817268,0.11176011,-0.116488852,1.251644015
76,-132.6745486,-213.9542839,251.7518053,0.620106998,28386.28804,0.617243183,507,850.5,1245,1932,2637.5,-0.358678102,0.051174443,-0.15439412,1.107869387
77,-43.90491888,-63.79256418,77.44115925,0.688245087,2800.807356,0.592331059,560.5,907.5,1468,2402,2576,-0.274077207,0.110708326,-0.035050873,1.248981357
78,-21.59139726,-39.84055981,45.3151039,0.541945127,860.2133538,0.648531509,631.5,1040,1608,2356,2624,-0.240071207,0.074425921,-0.053810909,1.160821199
79,-39.15004534,-47.16167896,61.29396392,0.83012408,1846.38187,0.546411039,558,975.5,1436,2366.5,2549.5,-0.279385537,0.127854005,-0.036922403,1.293194056
80,-0.57813479,-10.61336885,10.62910336,0.054472317,6.135957771,0.948341634,875,1296,1974,2920,2769,-0.167615429,0.111930728,0.026542451,1.252076507
81,-31.25886939,-69.84733182,76.52298137,0.447531331,2183.348623,0.690831334,567,1024,1476,2394,2570,-0.270390511,0.128813565,-0.035455279,1.295719862
82,-18.25192438,-23.87392239,30.05157091,0.764513015,435.7450263,0.566728605,861,1326,1986,3044,2759,-0.162908331,0.139828533,0.049112529,1.325117826
83,-6.068538456,-13.1302353,14.46479305,0.46218048,79.68133785,0.683910101,875,1414,2150,3219,2725,-0.117948718,0.152410582,0.083109021,1.359632969
84,-30.24157165,-53.07083175,61.08245115,0.569834138,1604.945361,0.637009972,662,1143,1759,2697,3068.5,-0.271257639,0.096036874,-0.064839348,1.212480068
85,0.88960515,-7.773194606,7.823934541,-0.114445244,-6.915073954,1.129235649,1119,1694,2570,3971,2898,-0.060042296,0.184579253,0.156185523,1.452723622
