FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDRI,NDTI,NDI7,STI
114,1,RC,-2.629370121,-6.689399029,7.187603676,0.393065223,17.58890594,0.717841479,760,1100,1576,2310,2350,-0.19714722,0.113374837,-0.008583691,1.255744696
115,1,RC,-9.715850385,-19.70997932,21.97455423,0.492940669,191.4992102,0.669818983,717,1016,1404,2204,2119,-0.202952027,0.129952788,0.019662272,1.298725843
116,1,RC,-12.81685449,-9.120418525,15.7306641,1.405292361,116.8950771,0.415749876,719,969,1382,2104,2148,-0.216997162,0.136482418,-0.010348071,1.316107988
117,1,RC,-8.70454256,-13.08879136,15.71895418,0.665037918,113.9319414,0.600586923,1010,1416,2026,2862,3017,-0.196510017,0.10061112,-0.026365029,1.223732233
118,1,RC,-6.52022097,-13.20514442,14.72715589,0.4937637,86.10045958,0.669449927,1118,1526,2178,3044,3546,-0.238993704,0.065858796,-0.076176025,1.141003966
119,1,RC,-6.1464479,-5.093580257,7.98269263,1.20670483,31.30742568,0.453164368,779,1078,1510,2256,2243,-0.195310414,0.133642331,0.002889531,1.308515429
120,1,RC,-2.568601044,-8.765367862,9.133968748,0.293039731,22.51473304,0.773371441,1376,1842,2600,3632,2988,-0.069434501,0.124138944,0.097280964,1.283467174
121,1,RC,-10.0865344,-13.46045785,16.8202884,0.749345566,135.7693711,0.571642344,543,842,1124,1766,1887,-0.25340417,0.125579238,-0.03312346,1.287228346
122,1,RC,-7.396666383,-16.86312948,18.41401123,0.43862952,124.7309429,0.695105992,774,1062,1532,2160,2327,-0.206011921,0.107745402,-0.03721863,1.241512656
123,1,RC,-7.184536772,-17.37644686,18.80315065,0.413464089,124.8417215,0.707481717,702,975,1378,2000,2104,-0.208500862,0.097383097,-0.025341131,1.215779424
124,1,RC,-1.591468819,-14.96326269,15.04765773,0.106358409,23.81356599,0.903866226,1114,1550,2190,3116,3119,-0.174985871,0.109493218,-4.81E-04,1.245912194
125,1,RC,-5.188990798,-10.97717999,12.14183289,0.472707089,56.96048593,0.679021652,1088,1512,2130,3034,3147,-0.19272314,0.099055253,-0.018281832,1.219891906
126,1,RC,-1.497810021,-12.75671337,12.84434392,0.117413473,19.10713311,0.894923879,933,1274,1814,2612,2582,-0.174704283,0.120272569,0.005775895,1.27343142
127,1,RC,-8.15138939,-20.58399542,22.13924155,0.39600618,167.7881619,0.716329207,960,1347,1870,2684,3160.5,-0.256535888,0.062374827,-0.081530765,1.133048654
128,1,RC,-20.71357875,-21.2740111,29.69235412,0.973656479,440.6609044,0.506673786,947.5,1410,1975,2772,3544.5,-0.284355521,0.041373827,-0.122368164,1.086319089
129,1,RC,-9.21372565,-24.09465753,25.79622573,0.382397037,222.0015641,0.72338118,1004,1402,1994,2809,3421.5,-0.263595432,0.057713509,-0.098379083,1.122496724
130,1,RC,1.313747448,-8.687284089,8.786059253,-0.151226486,-11.4128973,1.1781706,924.5,1254,1731,2428,2443,-0.170579776,0.123823173,-0.003079576,1.282644272
131,1,RC,-21.41734408,-23.18667828,31.56461115,0.923691778,496.5970669,0.519833796,691,1001,1486,2026,2763,-0.300541312,0.037952647,-0.153894335,1.078899741
132,1,RC,-19.72741147,-48.04205443,51.93466816,0.410627974,947.7453757,0.708904132,678,977,1424,2066,2843,-0.332552135,0.03118078,-0.158280715,1.064368606
133,1,RC,-15.37065393,-27.21665264,31.25705014,0.564751813,418.337749,0.639078985,780,1128,1658,2322,3002,-0.288412005,0.032549147,-0.127723515,1.067288518
134,1,RC,-24.30916774,-42.5531124,49.00717305,0.571266504,1034.430747,0.636429274,704,1020,1510,2134,2896,-0.314571053,0.043277171,-0.151491061,1.090469599
135,1,RC,-13.10384066,-36.28275837,38.57653684,0.361158888,475.4434843,0.73466809,968,1363,1977,2855,3405,-0.26519233,0.078234978,-0.087713689,1.169750333
136,1,RC,-18.88178934,-26.45986542,32.50609861,0.71360111,499.6096048,0.583566382,895,1199,1740,2520,3069.5,-0.276432306,0.065672308,-0.098309323,1.14057672
137,1,RC,-14.35854391,-23.15580632,27.24626855,0.620083953,332.4836619,0.617251963,702,1015,1494,2126,2584,-0.26728788,0.060192764,-0.097239912,1.128095984
138,1,RC,-6.0449014,-15.28318959,16.43522793,0.395526167,92.38537414,0.7165756,976,1378,1950,2822,2999,-0.211962014,0.094641507,-0.030407146,1.209069729
139,1,RC,-12.27756815,-7.366562852,14.31799315,1.666661697,90.44347742,0.375000699,841,1136,1568,2264,2597,-0.247058824,0.077769883,-0.068504423,1.168656111
140,1,RC,-4.186376056,-5.391699301,6.826138428,0.776448356,22.57168085,0.562920952,853,1214,1754,2524,2561,-0.187022015,0.111997224,-0.007276303,1.252245188
141,1,RC,-7.815394352,-29.10224381,30.13338652,0.268549546,227.4455119,0.788301887,807,1058,1472,2222,2452,-0.24974516,0.104128607,-0.049208388,1.232463241
142,1,RC,-2.413707223,0.896341355,2.574764141,-2.69284376,-2.163505602,-0.59072197,1146,1529,2149,3058,2877.5,-0.144931808,0.112156801,0.030410195,1.252650142
143,1,RC,-1.501735346,-8.305770651,8.44044046,0.180806262,12.47306936,0.846878978,1122,1535,2206,3130,3235.5,-0.189194292,0.097678296,-0.016573712,1.216504335
144,1,RC,-4.296994421,-11.16887138,11.96694819,0.384729511,47.99257799,0.722162698,1190,1583,2237,3155,3274.5,-0.188242704,0.101707138,-0.018586926,1.226445556
145,1,RC,-7.733695237,-19.86962911,21.32163697,0.389221922,153.665656,0.719827397,956,1346,1948,2700,3109,-0.229582757,0.055732727,-0.070407987,1.118044376
146,1,RC,-16.48245886,-24.58355285,29.59767763,0.670466916,405.1973986,0.598635023,814,1206,1694,2400,2955,-0.271241128,0.041362531,-0.103641458,1.086294413
147,1,RC,-17.11995879,-20.35224434,26.59524091,0.841182845,348.4295845,0.54312911,824,1178,1728,2406,2952,-0.261539251,0.046049468,-0.101904251,1.096544862
148,1,RC,-18.77861966,-32.09857272,37.18810195,0.58502974,602.7668888,0.630902988,833,1146,1662,2369,3067.5,-0.297177464,0.04550764,-0.128483281,1.095355749
149,1,RC,-11.88502445,-28.83306794,31.18652936,0.412201174,342.6817176,0.708114409,735,1050,1468,2112,2580,-0.274703562,0.06386067,-0.099744245,1.136434078
150,1,RC,-8.368012763,-7.552508188,11.27226763,1.10797798,63.19948491,0.474388257,1104,1512,2138,2984,3236,-0.204317078,0.07357572,-0.040514469,1.158838034
151,1,RC,-0.519974611,-1.407473959,1.500452112,0.369438175,0.731850724,0.730226467,1066,1466,2066,2856,3082,-0.197358191,0.083828777,-0.038059954,1.182998061
152,1,RC,-1.31453976,-7.263889449,7.381876774,0.180969131,9.548671489,0.846762184,652,907,1238,1838,1740,-0.168569505,0.14180024,0.027389603,1.330459714
153,1,RC,-1.46757279,-14.67898439,14.75216433,0.099977815,21.54247807,0.909109244,585,825,1150,1664,1757,-0.208806336,0.124564029,-0.027185034,1.284575939
154,1,RC,-8.671354433,-31.12653638,32.31181912,0.278583981,269.9092292,0.782115226,503.5,707,963.5,1389,1735.5,-0.286031872,0.116681479,-0.110897847,1.264188886
155,1,RC,-11.52921485,-12.54392305,17.03739418,0.919107588,144.6215839,0.521075528,1108,1500,2050,2866,3078,-0.200468019,0.074703142,-0.03566622,1.161468506
156,1,RC,-9.662957073,-12.20965108,15.57075204,0.791419592,117.9813343,0.558216514,1164,1576,2242,3154,3157,-0.169475824,0.112703763,-4.75E-04,1.254038692
157,1,RC,-1.973672859,-23.18907129,23.27291155,0.085112199,45.76764063,0.921563688,874,1218,1748,2532,2806,-0.232323229,0.096878015,-0.051330086,1.214540243
158,1,RC,-6.960857635,-11.52498574,13.46398289,0.603979718,80.22378496,0.62344928,1088,1484,2114,3000,3290,-0.217616573,0.083437808,-0.046104927,1.182066917
159,1,RC,-3.995761719,-24.50756232,24.83116434,0.16304199,97.92637933,0.859814185,962,1292,1812,2662,3049,-0.254474401,0.08520852,-0.067763962,1.186290622
160,1,RC,-5.775633778,-19.57685812,20.41105875,0.295023529,113.068763,0.772186742,816,1130,1632,2382,2387,-0.187857673,0.122748986,-0.001048438,1.279849172
161,1,RC,3.046917235,-2.872961169,4.187793036,-1.060549397,-8.753674899,-16.51544111,1126,1526,2206,3266,2928,-0.14063108,0.14046675,0.054568939,1.326844215
