FID,class,residue,VVresidue,VHresidue,span,ratio,product,rvi,B2,B3,B4,B8,B12,NDTI,NDRI,NDI7,STI
59,0,TC,-3.431257553,2.017291782,3.980325933,-1.700922783,-6.921847665,-1.426690677,1012,1562,2416,3516,2734,0.170006067,-0.061747573,0.125119999,1.409656167
60,0,TC,1.665490102,-1.325296066,2.128442374,-1.256692859,-2.20726748,-3.895706346,1100,1652,2427,3835,2816,0.183176219,-0.074194163,0.153210044,1.448508501
61,0,TC,-0.173791593,-4.966276375,4.969316306,0.034994346,0.863097081,0.966188853,1118,1632,2556,3756,2760,0.188473985,-0.038374718,0.152854517,1.464492798
62,0,TC,-1.893966671,0.07274574,1.895363209,-26.03543075,-0.137778007,-0.039943391,1222,1802,2622,3818,2702,0.191139057,-0.015026296,0.171165645,1.472612858
63,0,TC,-6.073946983,-8.037270334,10.07425165,0.755722618,48.8179539,0.569566052,830,1316,2103,3162,2577,0.160175979,-0.101282053,0.101934135,1.381451249
64,0,TC,0.093716421,-4.633216421,4.634164129,-0.020227076,-0.434208463,1.020644657,1127,1610,2472,3798,2656.5,0.188728675,-0.035741132,0.176853165,1.465267658
65,0,TC,-15.61156178,-28.81680284,32.77390711,0.541752042,449.8752978,0.648612729,648,1114,1786,2876,2596,0.158236057,-0.184847102,0.051169589,1.375962973
66,0,TC,4.247540198,0.578313361,4.286728831,7.344703553,2.456409248,0.119836492,1252,1778,2648,3920,2788,0.188709438,-0.025754232,0.168753728,1.465208054
67,0,TC,-14.43940327,-39.48454425,42.0419505,0.365697605,570.1332573,0.732226517,734,1192,1892,3016,2752,0.155050665,-0.185185179,0.045769766,1.367005825
68,0,TC,0.944027588,-8.193302293,8.247508142,-0.115219426,-7.734703404,1.13022373,911,1402,2166,3184,2629,0.16100207,-0.096558914,0.095475659,1.383796096
69,0,TC,-0.656350281,3.605676067,3.664927774,-0.182032515,-2.3665865,1.222542482,1084,1736,2620,3806,2755,0.180181518,-0.02511628,0.160189003,1.439564466
70,0,TC,-0.840339292,-11.61243128,11.64279736,0.072365491,9.758382281,0.932517885,908,1384,2164,3262,2648,0.167818978,-0.100581877,0.103891708,1.403323293
71,0,TC,2.272040907,-6.91840455,7.281929099,-0.328405327,-15.71889815,1.488993347,960.5,1500,2279,3546,2550,0.190156877,-0.056193344,0.163564801,1.469614983
72,0,TC,0.63428284,-4.195080599,4.242760417,-0.151196819,-2.660867636,1.17812942,977,1488,2380,3630,2618,0.185945272,-0.047619049,0.161971837,1.456837296
73,0,TC,2.920709203,1.134912331,3.133459469,2.573510854,3.31474889,0.279836844,1104,1716,2600,3903,2673,0.192691028,-0.013844112,0.187043801,1.477366209
74,0,TC,-0.308679288,-2.283566282,2.304334582,0.135174219,0.704889615,0.88092205,1108,1688,2558,3733,2814,0.172596291,-0.047654506,0.140369639,1.417199731
75,0,TC,3.190362455,-6.942582682,7.640541008,-0.459535392,-22.14935513,1.850259916,851,1330,2098,3228,2524,0.167271525,-0.092167892,0.122392215,1.401743293
76,0,TC,-0.985972726,-3.982647446,4.10287983,0.247567162,3.926781761,0.801560052,1005,1566,2402,3665,2643,0.193838641,-0.047770068,0.162016481,1.480892897
77,0,TC,-2.15199707,-1.552553444,2.653585044,1.386101766,3.341090462,0.419093609,1100,1676,2562,3835,2881,0.180486411,-0.058607385,0.142048836,1.440472007
78,0,TC,-3.479623818,-6.674008135,7.526630488,0.52136943,23.22303767,0.657302546,1015,1566,2490,3688,2829,0.18496111,-0.063733786,0.131809115,1.453870654
79,0,TC,5.476413349,-2.159889869,5.886954001,-2.535505827,-11.82844971,-0.651251192,1144,1752,2702,3974,2716,0.192267656,-0.002583979,0.188041851,1.476067781
80,0,TC,4.331837354,1.74976965,4.671884918,2.475661499,7.57971753,0.287715015,1204,1716,2575,3724,2842,0.161775544,-0.049289275,0.134328365,1.385995746
81,0,TC,-1.58552881,-11.040642,11.15390862,0.143608389,17.50525597,0.874425205,941,1528,2280,3373,2734,0.173018754,-0.090546466,0.104634024,1.418434501
82,0,TC,-8.883540502,-21.87195459,23.60719571,0.406161254,194.3003944,0.711155991,705,1237,2002,3163,2779,0.166652784,-0.162601605,0.064593643,1.399961114
83,0,TC,-1.85320405,-10.7789975,10.93714553,0.17192731,19.97568183,0.853295244,904,1475,2305,3612,2786,0.1800455,-0.094480835,0.129102767,1.439160109
84,0,TC,-3.348768196,-4.340961629,5.482535572,0.771434646,14.53687424,0.564514193,1036,1522,2350,3572,2710,0.173150271,-0.071146242,0.137217447,1.418819189
85,0,TC,-4.155841805,-8.626060761,9.57496451,0.481777479,35.84854392,0.674865163,750,1271,2062,3327,2625,0.182370335,-0.120119482,0.117943525,1.446095228
86,0,TC,-0.856206643,-1.912616526,2.09551707,0.447662473,1.637594976,0.690768752,961.5,1496,2351,3559,2727.5,0.175981477,-0.074142069,0.132258147,1.427129984
87,0,TC,1.76196778,1.707353798,2.453484756,1.031987501,3.00830238,0.492129011,1238,1848,2770,4220,2739,0.192630798,0.005627156,0.212817937,1.477181435
88,1,RC,-2.75886402,-5.913025643,6.524967658,0.466573999,16.3132337,0.681861264,1100,1654,2526,3654,2835,0.171658143,-0.0576385,0.126213595,1.41446209
89,1,RC,-0.604646182,-8.633211788,8.654359756,0.070037223,5.220038542,0.934546928,1081,1684,2571,3806,2728,0.176621094,-0.02993783,0.164629921,1.429015517
90,1,RC,0.391953013,-5.878058192,5.891111548,-0.066680696,-2.303922619,1.071444677,1192,1748,2722,3968,2858,0.186334521,-0.02437276,0.162613541,1.458012581
91,1,RC,-4.382222702,-13.22797243,13.93496072,0.331284536,57.96792108,0.751154222,888,1406,2210,3344,2704,0.165689602,-0.100529097,0.105820104,1.397189379
92,1,RC,-14.87586966,-15.47145021,21.4629278,0.961504543,230.1512768,0.509812737,771,1294,1988,3118,2809,0.13289088,-0.171148628,0.052134302,1.30651474
93,1,RC,-4.043067645,-4.377145498,5.95867424,0.923676777,17.69709534,0.51983785,992,1520,2360,3404,2772,0.165688485,-0.080280595,0.102331609,1.39718616
94,1,RC,-16.97988399,-30.29063732,34.72519503,0.560565425,514.3315078,0.640793384,496,933,1444,2260,2277,0.127251819,-0.223864555,-0.003746969,1.291611791
95,1,RC,-3.066986705,-16.45859329,16.74191448,0.186345616,50.4782868,0.842924681,805,1322,1998,3084,2695,0.165247023,-0.148519069,0.06731268,1.395918369
96,1,RC,-0.689240666,-4.493870498,4.546418893,0.153373504,3.097358295,0.867021824,1192,1737,2548,3625,2902,0.145779461,-0.064955346,0.110770278,1.341315866
97,1,RC,-13.98584164,-37.75307319,40.26038129,0.370455713,528.008503,0.729684287,611,1000,1584,2566,2524,0.148304373,-0.228821814,0.008251473,1.348256707
98,1,RC,-8.314662814,-29.6132621,30.75839577,0.280774971,246.2242892,0.780777281,931,1432,2134,3232,2834,0.158800825,-0.140901774,0.065611608,1.377558231
99,1,RC,-10.38761591,-8.796312241,13.61167416,1.180905773,91.37271297,0.458525083,882,1404,2166,3358,2723,0.163697794,-0.113929227,0.104423612,1.391479969
100,1,RC,-5.482267648,-14.85593824,15.83521896,0.369028705,81.44422957,0.730444874,1004,1618,2491,3841,2877,0.168557212,-0.071841769,0.143323585,1.405457139
101,1,RC,-7.376559025,-20.43291749,21.72366775,0.361013498,150.7246219,0.73474657,1028,1562,2286,3593,3076,0.141860783,-0.147333086,0.077522866,1.330624223
102,1,RC,-13.77171498,-26.13385004,29.5404511,0.52696847,359.907934,0.65489237,944,1428,2124,3212,3127,0.12088839,-0.191011235,0.013409055,1.275023937
103,1,RC,-5.538154942,-20.82922484,21.55290624,0.265883872,115.3554745,0.789961878,832,1306,1958,3034,2757,0.144187495,-0.169459179,0.047832843,1.336960435
104,1,RC,-7.8131647,-12.24566141,14.52589983,0.638035337,95.67736941,0.61048744,991,1460,2210,3293,2886,0.139278263,-0.132653058,0.065868266,1.323631287
105,1,RC,-27.14369504,-42.15949333,50.14182943,0.643833521,1144.36443,0.608334109,625,1011,1556,2386,2677,0.098956577,-0.264824003,-0.057475805,1.219648838
106,1,RC,-17.65569759,-35.21436391,39.3925765,0.501377723,621.73416,0.666054907,624,1042,1593,2401,2580,0.112028912,-0.236520484,-0.03593656,1.252325535
107,1,RC,-13.71168728,-28.29904742,31.44592904,0.484528227,388.0276886,0.673614675,713,1200,1724,2714,2721,0.129280001,-0.224296957,-0.001287948,1.296949625
108,1,RC,-15.53990845,-18.5792949,24.22145647,0.836410022,288.7205418,0.544540701,814,1266,1934,2912,2665,0.149649009,-0.158947602,0.044289045,1.351969957
109,1,RC,-12.26236518,-27.7159472,30.30741376,0.442429952,339.8630658,0.693274567,789,1224,1842,2776,2624,0.149846107,-0.175100759,0.028148148,1.352515221
110,1,RC,-6.018835244,-4.731261063,7.655795774,1.272141859,28.47668083,0.440113365,1094,1638,2428,3787,2835,0.170335487,-0.076637723,0.143578321,1.410613537
111,1,RC,-11.45423921,-19.45089284,22.57292245,0.588879868,222.7951794,0.629374203,680,1204,1892,3035,2658,0.153031617,-0.16835165,0.066221893,1.361364126
112,1,RC,-7.76546232,-10.5039887,13.06277856,0.739287002,81.56832845,0.574948239,1001,1554,2513,3871,2930.5,0.17601575,-0.076697007,0.138278306,1.427230954
113,1,RC,-8.171913802,-14.54915413,16.68706269,0.561676213,118.8944335,0.640337601,942.5,1407,2153,3201.5,2903,0.13876693,-0.148338512,0.048891336,1.322251797
114,1,RC,-9.096204131,-15.74608677,18.18461377,0.5776803,143.2296195,0.633841977,907,1386,2086,3129,2737,0.162228346,-0.134978235,0.066825777,1.387285352
115,1,RC,-9.922856261,-15.64576336,18.52708794,0.634220014,155.2506609,0.611912711,744,1166,1822,2894,2488,0.167057246,-0.154524356,0.075436644,1.401125431
116,1,RC,-13.77076602,-48.8554997,50.75917501,0.281867264,672.7776551,0.780111973,559,949,1470,2222,2419,0.124977395,-0.244021595,-0.04244775,1.28565526
117,1,RC,-44.94894563,-67.37443153,80.99210911,0.66715139,3028.40966,0.59982555,620,946,1504,2322,2625,0.09948542,-0.271494299,-0.061249241,1.220952392
